linha,tipo,valor
0,LPAREN,(
0,NUMBER,2
0,NUMBER,3
0,OPERATOR,^
0,RPAREN,)
1,LPAREN,(
1,NUMBER,10
1,NUMBER,4
1,OPERATOR,-
1,RPAREN,)
2,LPAREN,(
2,NUMBER,2
2,KEYWORD_RES,RES
2,RPAREN,)
3,LPAREN,(
3,NUMBER,7.5
3,IDENTIFIER,TOTAL
3,RPAREN,)
4,LPAREN,(
4,IDENTIFIER,TOTAL
4,RPAREN,)
5,LPAREN,(
5,LPAREN,(
5,LPAREN,(
5,NUMBER,4
5,NUMBER,2
5,OPERATOR,+
5,RPAREN,)
5,LPAREN,(
5,NUMBER,3
5,NUMBER,1
5,OPERATOR,-
5,RPAREN,)
5,OPERATOR,*
5,RPAREN,)
5,LPAREN,(
5,NUMBER,2
5,NUMBER,3
5,OPERATOR,^
5,RPAREN,)
5,OPERATOR,/
5,RPAREN,)
6,LPAREN,(
6,NUMBER,10
6,NUMBER,3
6,OPERATOR,%
6,RPAREN,)
7,LPAREN,(
7,NUMBER,2
7,NUMBER,13
7,OPERATOR,//
7,RPAREN,)
8,LPAREN,(
8,NUMBER,5.5
8,NUMBER,6
8,OPERATOR,+
8,RPAREN,)
